Time,AccelRobX,AccelRobY,AccelRobZ,TargetModelAngleX,TargetModelAngleY,TargetModelAngleZ,CurrentModelAngleX,CurrentModelAngleY,CurrentModelAngleZ,ClampedModelAngleX,ClampedModelAngleY,ClampedModelAngleZ
2230,0,78,0,00,-10,09,-0,00,54,60,-403,60,-10,11,41,72,-404,72,-10,11,41,72,-90,00
2256,0,78,0,20,-10,09,-14,00,54,60,-403,60,-10,69,43,65,-404,55,-10,69,43,65,-90,00
2383,0,49,0,59,-11,17,-41,30,34,30,-446,80,-15,28,42,25,-410,89,-15,28,42,25,-90,00
2427,0,49,0,69,-10,09,-48,30,34,30,-403,60,-20,23,41,06,-409,80,-20,23,41,06,-90,00
2525,0,00,0,39,-9,80,-27,30,0,00,-392,00,-21,29,34,90,-407,13,-21,29,34,90,-90,00
2613,0,20,0,29,-9,70,-20,30,14,00,-388,00,-21,15,31,76,-404,26,-21,15,31,76,-90,00
2639,0,59,0,49,-10,19,-34,30,41,30,-407,60,-23,12,33,19,-404,76,-23,12,33,19,-90,00
2674,0,49,0,49,-10,49,-34,30,34,30,-419,60,-24,80,33,36,-406,99,-24,80,33,36,-90,00
2697,0,59,0,49,-10,09,-34,30,41,30,-403,60,-26,22,34,55,-406,48,-26,22,34,55,-90,00
2716,0,88,0,39,-10,09,-27,30,61,60,-403,60,-26,38,38,61,-406,05,-26,38,38,61,-90,00
2736,0,29,0,39,-10,29,-27,30,20,30,-411,60,-26,52,35,86,-406,88,-26,52,35,86,-90,00
2754,0,29,0,39,-9,80,-27,30,20,30,-392,00,-26,64,33,53,-404,65,-26,64,33,53,-90,00
2772,0,20,0,39,-9,80,-27,30,14,00,-392,00,-26,74,30,60,-402,75,-26,74,30,60,-90,00
2790,0,20,0,78,-10,78,-54,60,14,00,-431,20,-30,92,28,11,-407,02,-30,92,28,11,-90,00
2807,0,59,0,78,-10,78,-54,60,41,30,-431,20,-34,47,30,09,-410,64,-34,47,30,09,-90,00
2824,0,59,0,78,-10,78,-54,60,41,30,-431,20,-37,49,31,77,-413,73,-37,49,31,77,-90,00
2841,0,59,0,78,-10,78,-54,60,41,30,-431,20,-40,06,33,20,-416,35,-40,06,33,20,-90,00
2859,0,59,0,78,-10,58,-54,60,41,30,-423,20,-42,24,34,41,-417,38,-42,24,34,41,-90,00
2877,0,59,0,78,-9,80,-54,60,41,30,-392,00,-44,09,35,45,-413,57,-44,09,35,45,-90,00
2894,0,29,0,39,-9,80,-27,30,20,30,-392,00,-41,57,33,18,-410,33,-41,57,33,18,-90,00
2911,0,29,0,39,-9,80,-27,30,20,30,-392,00,-39,43,31,24,-407,58,-39,43,31,24,-90,00
2927,0,29,0,39,-9,80,-27,30,20,30,-392,00,-37,61,29,60,-405,25,-37,61,29,60,-90,00
