Time,AccelX,AccelY,AccelZ,TargetAngleX,TargetAngleY,TargetAngleZ,CurrentAngleX,CurrentAngleY,CurrentAngleZ
2389,0,29,0,78,-10,00,11,70,-150,00,-2,90,11,28,-151,61,-1,36
2405,0,29,0,78,-10,00,11,70,-150,00,-2,90,11,35,-151,37,-1,59
2421,0,29,0,78,-10,00,11,70,-150,00,-2,90,11,40,-151,17,-1,79
2437,0,49,0,69,-10,09,10,35,-151,35,-4,90,11,24,-151,17,-2,26
2453,0,49,0,69,-10,09,10,35,-151,35,-4,90,11,11,-151,17,-2,65
2469,0,29,0,78,-10,29,11,70,-154,35,-2,90,11,20,-151,64,-2,69
2485,0,29,0,78,-10,00,11,70,-150,00,-2,90,11,27,-151,40,-2,72
2501,0,20,0,78,-10,00,11,70,-150,00,-2,00,11,34,-151,19,-2,61
2517,0,20,0,78,-10,00,11,70,-150,00,-2,00,11,39,-151,01,-2,52
2533,0,20,0,78,-10,00,11,70,-150,00,-2,00,11,44,-150,86,-2,44
2549,0,20,0,98,-9,80,14,70,-147,00,-2,00,11,93,-150,28,-2,38
2565,0,00,0,39,-9,80,5,85,-147,00,-0,00,11,02,-149,79,-2,02
2581,0,00,0,78,-10,00,11,70,-150,00,-0,00,11,12,-149,82,-1,72
2597,0,29,0,78,-10,00,11,70,-150,00,-2,90,11,21,-149,82,-1,89
2613,0,29,0,78,-10,00,11,70,-150,00,-2,90,11,28,-149,82,-2,05
2629,0,29,0,78,-10,00,11,70,-150,00,-2,90,11,34,-149,82,-2,17
2645,0,20,0,59,-10,00,8,85,-150,00,-2,00,10,97,-149,82,-2,17
2661,0,20,0,59,-10,00,8,85,-150,00,-2,00,10,65,-149,82,-2,17
2677,0,20,0,78,-10,00,11,70,-150,00,-2,00,10,81,-149,82,-2,17
2693,0,20,0,78,-10,00,11,70,-150,00,-2,00,10,94,-149,82,-2,17
2709,0,20,0,88,-9,90,13,20,-148,50,-2,00,11,28,-149,62,-2,17
2725,0,20,0,88,-9,90,13,20,-148,50,-2,00,11,57,-149,45,-2,17
2741,0,20,0,88,-9,90,13,20,-148,50,-2,00,11,81,-149,31,-2,17
2757,0,20,0,88,-10,00,13,20,-150,00,-2,00,12,02,-149,41,-2,17
2773,0,49,0,59,-10,00,8,85,-150,00,-4,90,11,55,-149,50,-2,58
2797,-0,20,0,69,-9,90,10,35,-148,50,2,00,11,37,-149,35,-1,90
2815,-0,20,0,69,-9,90,10,35,-148,50,2,00,11,21,-149,22,-1,31
2833,-0,20,0,69,-9,90,10,35,-148,50,2,00,11,08,-149,12,-0,81
2851,-0,20,0,39,-10,09,5,85,-151,35,2,00,10,30,-149,45,-0,39
2868,-0,29,0,39,-10,09,5,85,-151,35,2,90,9,63,-149,74,0,10
2884,-0,29,0,78,-10,29,11,70,-154,35,2,90,9,94,-150,43,0,52
2900,0,59,0,78,-10,29,11,70,-154,35,-5,90,10,21,-151,02,-0,44
2916,0,59,0,78,-10,29,11,70,-154,35,-5,90,10,43,-151,52,-1,26
2932,0,59,0,78,-10,29,11,70,-154,35,-5,90,10,62,-151,94,-1,96
2948,0,59,0,59,-10,58,8,85,-158,70,-5,90,10,35,-152,95,-2,55
2964,0,59,0,59,-10,58,8,85,-158,70,-5,90,10,13,-153,82,-3,05
2980,0,29,0,69,-11,07,10,35,-166,05,-2,90,10,16,-155,65,-3,05
2996,0,29,0,69,-10,68,10,35,-160,20,-2,90,10,16,-156,33,-3,05
3012,0,00,0,69,-10,68,10,35,-160,20,-0,00,10,16,-156,91,-2,59
3028,0,00,0,69,-10,68,10,35,-160,20,-0,00,10,16,-157,41,-2,20
3044,0,00,0,69,-10,68,10,35,-160,20,-0,00,10,16,-157,83,-1,87
3060,0,00,0,10,-9,80,1,50,-147,00,-0,00,8,86,-156,20,-1,59
3076,0,20,0,10,-9,80,1,50,-147,00,-2,00,7,76,-154,82,-1,65
3092,0,20,0,10,-10,39,1,50,-155,85,-2,00,6,82,-154,98,-1,71
3108,0,49,0,10,-10,39,1,50,-155,85,-4,90,6,02,-155,11,-2,18
3124,0,49,0,10,-10,39,1,50,-155,85,-4,90,5,34,-155,22,-2,59
3140,0,49,0,10,-10,39,1,50,-155,85,-4,90,4,77,-155,31,-2,94
3156,0,49,-0,10,-10,39,-1,50,-155,85,-4,90,3,83,-155,39,-3,23
3172,0,49,-0,10,-10,39,-1,50,-155,85,-4,90,3,03,-155,46,-3,48
3188,0,00,-0,20,-10,09,-3,00,-151,35,-0,00,2,12,-154,85,-2,96
3204,0,00,-0,20,-9,60,-3,00,-144,00,-0,00,1,36,-153,22,-2,52
3220,0,29,-0,39,-9,60,-5,85,-144,00,-2,90,0,27,-151,84,-2,57
3236,0,29,-0,39,-9,60,-5,85,-144,00,-2,90,-0,64,-150,66,-2,62
3252,0,29,-0,39,-9,60,-5,85,-144,00,-2,90,-1,43,-149,66,-2,66
3268,0,29,-0,39,-9,70,-5,85,-145,50,-2,90,-2,09,-149,04,-2,70
3284,0,00,-0,98,-9,70,-14,70,-145,50,-0,00,-3,98,-148,51,-2,29
3300,0,00,-0,98,-10,09,-14,70,-151,35,-0,00,-5,59,-148,93,-1,95
3316,-0,20,-0,98,-10,09,-14,70,-151,35,2,00,-6,96,-149,30,-1,36
3332,-0,20,-0,98,-10,09,-14,70,-151,35,2,00,-8,12,-149,60,-0,85
3364,0,29,-1,08,-10,00,-16,20,-150,00,-2,90,-9,33,-149,66,-1,16
3380,0,29,-1,08,-10,00,-16,20,-150,00,-2,90,-10,36,-149,71,-1,42
3396,-0,49,-1,08,-10,78,-16,20,-161,70,4,90,-11,24,-151,51,-0,47
3412,-0,49,-1,08,-10,78,-16,20,-161,70,4,90,-11,98,-153,04,0,33
3428,0,29,-1,57,-10,19,-23,55,-152,85,-2,90,-13,72,-153,04,-0,15
3444,0,29,-1,57,-10,19,-23,55,-152,85,-2,90,-15,19,-153,04,-0,56
3460,0,29,-1,37,-10,39,-20,55,-155,85,-2,90,-15,99,-153,46,-0,91
3476,0,29,-1,37,-9,90,-20,55,-148,50,-2,90,-16,68,-152,72,-1,21
3492,0,00,-1,96,-9,90,-29,40,-148,50,-0,00,-18,59,-152,08,-1,03
3508,0,00,-1,96,-9,80,-29,40,-147,00,-0,00,-20,21,-151,32,-0,88
3524,0,20,-2,25,-9,80,-33,75,-147,00,-2,00,-22,24,-150,67,-1,04
3540,0,20,-2,25,-9,80,-33,75,-147,00,-2,00,-23,97,-150,12,-1,19
3556,0,20,-2,25,-9,80,-33,75,-147,00,-2,00,-25,43,-149,65,-1,31
3572,0,20,-2,74,-10,00,-41,10,-150,00,-2,00,-27,78,-149,71,-1,41
3588,0,00,-2,74,-10,00,-41,10,-150,00,-0,00,-29,78,-149,75,-1,20
